"plot","trt","trt.full","num","quad","temperature","gravimetric.moisture","volumetric.moisture","bulk.density","bulk.n","bulk.c","bulk.cn","ton","toc","sand","silt","clay","ph","p","k","ca","mg","som","no3","nh4","cec","k.meq","ca.meq","mg.meq","h.meq","pon.percent","poc.percent","poc.mass.rel","fpom","g475mm","g2mm","g250um","g53um","l53um","mwd"
"A1","A","Balled-and-burlapped","1","Q1",16,0.289209590654354,0.283083068588563,0.978816324687126,0.26,3.78,14.54,0.29,2.89,32,53,15,7.7,85,40,6986,380,4,10.2,1,38.2,0.1,34.9,3.2,0,0.29,3.77,0.388745,0.0996803251970926,8.45199445378671,22.2261208304966,51.7839289398898,10.3368497229385,7.10142572769128,1.88717575236218
"A1","A","Balled-and-burlapped","1","Q2",16.6,0.303814062812658,0.302503102989758,0.995684992950086,0.28,3.93,14.04,0.32,3.06,40,45,15,7.6,94,47,7115,458,4.4,9.8,1,39.5,0.1,35.6,3.8,0,0.36,4.455,0.38972,0.0897122926773835,9.97102292946521,30.8097929938687,42.2539914494217,8.21365879624046,8.66182153832658,2.16328432217877
"A1","A","Balled-and-burlapped","1","Q3",16.3,0.284624284379678,0.282699861978327,0.993238727308369,0.29,3.93,13.55,0.33,3.23,33,46,21,7.6,130,68,5960,513,5,10.2,1.9,34.2,0.2,29.8,4.3,0,0.48,6.18,0.40788,0.109648357716803,4.65068525239557,28.4040083452368,52.0294415808502,7.60560881253819,7.20060765126239,1.85197018162752
"A1","A","Balled-and-burlapped","1","Q4",15.6,0.285156346019615,0.27138629593226,0.951710525543036,0.28,3.92,14,0.34,3.3,39,42,19,7.7,121,60,6077,505,4.7,7.5,1.2,34.7,0.2,30.4,4.2,0,0.535,7.795,0.55694,0.318977040630698,7.82161607724029,25.7210127122319,49.8700666961056,9.09084565797487,7.17748181581668,1.94152308546491
"A1","A","Balled-and-burlapped","1","Q5",16,0.251966228549687,0.21057292461873,0.835718841492306,0.3,3.98,13.27,0.33,3.27,33,48,19,7.8,109,56,6114,518,5.6,11.8,1,35,0.1,30.6,4.3,0,0.375,5.28,0.53009,0.219296715433603,2.56008979203694,20.9094434149682,52.2575101649012,12.0412836034836,12.0123763091765,1.47503897351195
"A2","A","Balled-and-burlapped","2","Q1",17.7,0.237462979175204,0.256606625929701,1.08061739485031,0.3,4.15,13.83,0.33,3.14,37,48,15,7.8,118,53,7652,505,5.1,9.7,1,42.6,0.1,38.3,4.2,0,0.275,4.47,0.49641,0.149520487795638,10.4267613762663,21.8526186519831,52.5006304780569,8.89148500758069,6.1789839983174,2.00633460990603
"A2","A","Balled-and-burlapped","2","Q2",16.6,0.34527160883099,0.273447523180416,0.791978014370329,0.3,4.18,13.93,0.36,3.31,41,42,17,7.7,101,76,7797,471,5.1,23.1,1,43.1,0.2,39,3.9,0,0.32,3.865,0.620995,0.26913687803215,9.44969482868441,20.8341847694444,48.8732634441347,4.70481166897759,15.8689084107268,1.8625237847224
"A2","A","Balled-and-burlapped","2","Q3",15.9,0.262662321294218,0.258536627665963,0.984292784713367,0.26,4.06,15.62,0.32,3,40,45,15,7.6,122,62,7340,536,5,8.4,1,41.3,0.2,36.7,4.5,0,0.415,5.16,0.405285,0.0697762276379653,2.1224931644217,13.2602743003189,60.2567565816427,14.2941586332631,9.99654109271566,1.28238735874052
"A2","A","Balled-and-burlapped","2","Q4",17.5,0.249956211547188,0.227787251273195,0.911308624271546,0.25,3.99,15.96,0.31,3.09,42,43,15,7.6,112,83,7323,597,5.8,9.7,1,41.8,0.2,36.6,5,0,0.535,6.67,0.531765,0.0996803251970926,10.0612336237686,26.81251227314,46.6285622010213,7.77506536537325,8.62294621149972,2.08267648152375
"A2","A","Balled-and-burlapped","2","Q5",17.4,0.286393717160093,0.264244676832547,0.922662268756529,0.32,4.26,13.31,0.36,3.77,36,45,19,7.7,101,67,7349,510,6.6,11.8,1,41.2,0.2,36.7,4.3,0,0.63,7.13,0.564995,0.129584422756222,5.00724177562557,20.5561763424697,58.0100617320254,8.5824759994697,7.71445972765341,1.67859826037896
"A3","A","Balled-and-burlapped","3","Q1",16.2,0.233238860476883,0.24616738946157,1.05543042423656,0.27,3.99,14.78,0.09,2.93,44,39,17,7.8,108,68,6295,581,5.4,8,1,36.5,0.2,31.5,4.8,0,0.605,8.055,0.48579,0.179424585354767,2.20084190002661,17.6592667315918,57.2545845473566,8.65225222710766,14.0536300085625,1.39352616159975
"A3","A","Balled-and-burlapped","3","Q2",16.4,0.278600596306301,0.234751815667563,0.842610600192223,0.28,4,14.29,0.37,3.49,42,41,17,7.5,118,61,6083,524,4.9,7.3,1,34.9,0.1,30.4,4.4,0,0.805,10.21,0.3851,0.0797442601576744,10.1218392614884,30.2513838121146,45.9526299158598,5.52229001591895,8.0721127344606,2.19158481250629
"A3","A","Balled-and-burlapped","3","Q3",16,0.24040488249383,0.225045977154686,0.93611234023278,0.27,3.63,13.44,0.32,3.13,36,43,21,7.6,119,61,6075,518,4.4,6.9,1,34.8,0.2,30.4,4.3,0,0.585,8.675,0.84101,0.0697762276379653,3.65627432822937,18.9050714359051,55.3907618268214,10.8452193814437,11.1328967999625,1.51071022730105
"A3","A","Balled-and-burlapped","3","Q4",16.1,0.255449318678915,0.224406124378229,0.878476112360645,0.26,3.7,14.23,0.32,3.17,37,44,19,7.8,114,78,6195,582,5.7,7.3,2.1,36,0.2,31,4.9,0,0.52,6.96,0.46006,0.249200812992732,3.65318423814826,18.2077078808262,59.6433238603798,10.0577448123867,8.18883839526637,1.53362551297987
"A3","A","Balled-and-burlapped","3","Q5",16.1,0.240171218523366,0.272410625136672,1.13423509615982,0.28,3.91,13.96,0.34,3.36,39,44,17,7.9,119,52,6179,527,5.3,5.6,1,35.4,0.1,30.9,4.4,0,0.615,8.135,0.590135,0.0996803251970926,9.03970965114877,36.2686863229623,41.9737900552927,2.74071054129407,9.87742310410514,2.27670696825281
"B1","B","Bareroot","1","Q1",16.2,0.256063005543038,0.258459797841197,1.0093601662336,0.3,4.05,13.5,0.36,3.31,42,43,15,7.9,112,69,7214,544,6,9.6,1,40.8,0.2,36.1,4.5,0,0.545,7.29,0.68324,0.348881138189825,8.9663449318037,25.5793669701268,44.2732157969392,8.01928216210613,12.8129090008343,1.94513101483542
"B1","B","Bareroot","1","Q2",16.3,0.264209909215528,0.22837767124789,0.864379659059614,0.29,4.05,13.97,0.34,3.3,37,46,17,7.7,103,52,6239,485,5.3,8.1,1,35.4,0.1,31.2,4,0,0.45,6.185,0.68324,0.0996803251970926,9.87054516166654,23.5315343692777,52.543193976916,6.82810227600086,7.12694389094175,2.02489204620781
"B1","B","Bareroot","1","Q3",16.1,0.272349468456276,0.228379582569987,0.838553436011763,0.29,4.05,13.97,0.34,3.62,43,40,17,7.8,103,60,5904,520,5.9,8.1,1,34,0.2,29.5,4.3,0,0.57,7.515,0.753315,0.239232780473023,6.67070704251466,24.3760260843475,52.3402448348147,8.44292354419377,7.9308657136563,1.84956723786816
"B1","B","Bareroot","1","Q4",15.5,0.248769867959928,0.220603819048973,0.886778695740227,0.3,4.02,13.4,0.35,3.28,38,45,17,7.8,97,53,6810,534,6.1,7.7,1,38.6,0.1,34.1,4.5,0,0.625,8.725,0.71029,0.348881138189825,9.13689796821593,20.4611809925569,45.8728856557022,5.95091541426645,18.2292388310688,1.79812770445182
"B1","B","Bareroot","1","Q5",16.2,0.26749101932606,0.229260557774753,0.857077588445293,0.34,4.3,12.65,0.39,3.64,38,43,19,7.7,145,119,8262,811,5.4,8.1,1,48.4,0.3,41.3,6.8,0,0.755,9.335,0.547425,0.0598081951182562,8.00333331007459,29.5553161012633,46.5902849561456,6.45928507277162,9.33197236462665,2.04163093957678
"B2","B","Bareroot","2","Q1",16.3,0.234956684998458,0.237865338928188,1.0123795325498,0.27,3.86,14.3,0.33,3.21,43,38,19,7.8,126,56,6232,553,5.2,6.6,1,35.9,0.1,31.2,4.6,0,0.42,6.89,0.4913,0.239232780473023,4.03286659682399,27.8530751878725,51.295495346424,8.96126123521865,7.61806885318782,1.78778716655685
"B2","B","Bareroot","2","Q2",16.2,0.271143867436133,0.229056842244337,0.844779726756281,0.33,4.23,12.82,0.39,3.82,40,43,17,7.7,113,55,6286,511,5.5,7.9,1,35.8,0.1,31.4,4.3,0,0.67,9.44,0.60422,0.428625398347501,6.65854604284061,26.4335276767407,50.1446859920236,7.95448995072801,8.3801249393196,1.89279263900671
"B2","B","Bareroot","2","Q3",16.9,0.260205334016528,0.245160071112556,0.94217926791994,0.33,4.08,12.36,0.35,3.5,40,41,19,7.7,118,78,5792,520,5,8.9,1.1,33.5,0.2,29,4.3,0,0.73,10.69,0.62971,0.249200812992732,6.73390436868961,27.9619261029877,50.3657769533107,6.04062770694383,8.64856405507538,1.94876795118056
"B2","B","Bareroot","2","Q4",16.7,0.288293120509003,0.245111378745327,0.850215843904166,0.29,4.08,14.07,0.37,3.61,34,45,21,7.6,135,111,6511,614,5.5,7.3,2.4,38,0.3,32.6,5.1,0,0.77,11.64,0.73196,0.249200812992732,8.71026617637237,27.362747668228,49.4598821579196,6.68854982072494,7.52935336376241,2.04532902980143
"B2","B","Bareroot","2","Q5",16.4,0.266687830297489,0.22653363542851,0.849433718725798,0.28,4.18,14.93,0.34,3.46,43,38,19,7.8,123,50,6008,541,5.5,4.6,1,34.7,0.1,30,4.5,0,0.79,11.615,0.59178,0.159488520315347,7.34893197515568,24.4601562788138,51.9670416972768,8.28343502387842,7.78094650455987,1.89120331098168
"B3","B","Bareroot","3","Q1",16.2,0.22917684854978,0.203694193161391,0.888807898574214,0.27,3.97,14.7,0.33,3.11,34,49,17,7.7,102,57,6228,559,5.3,7,1,35.9,0.1,31.1,4.7,0,0.42,7.53,0.58407,0.28907294307157,2.99399824761988,21.4153210653434,53.9868641267455,10.6956988936481,10.6190447235715,1.53719067949087
"B3","B","Bareroot","3","Q2",16.4,0.25788255099383,0.213242296202671,0.82689695514829,0.29,4.13,14.24,0.35,3.43,39,44,17,7.5,129,66,6146,594,5.3,6.7,1.2,35.8,0.2,30.7,5,0,0.44,7.17,0.73648,0.667858178820523,5.01940277529962,22.0764009820506,50.0264651263398,8.65145478450609,13.5584181529834,1.64097014673941
"B3","B","Bareroot","3","Q3",16.7,0.226200823718826,0.18949410194791,0.837725074703782,0.31,4.24,13.68,0.36,3.51,39,40,21,7.6,115,53,5867,543,5.6,6.7,1,34,0.1,29.3,4.5,0,0.63,9.065,0.52238,0.26913687803215,3.29204241995919,19.8425648943837,57.366027150927,8.4728276417529,10.7574010149451,1.53775840878303
"B3","B","Bareroot","3","Q4",17,0.267459307111842,0.170528590846491,0.637587050859972,0.26,3.83,14.73,0.32,3.25,39,42,19,7.9,112,49,6004,525,6.3,6.4,1,34.5,0.1,30,4.4,0,0.67,10.86,0.56547,0.139552455275929,3.27908397768357,21.2542376598249,57.7139114858648,10.1873292351429,7.42588518620784,1.59108743260364
"B3","B","Bareroot","3","Q5",16.9,0.243286318696198,0.172839314166691,0.710435815268849,0.28,4.23,15.11,0.37,3.65,42,43,15,7.9,89,51,6890,533,5.7,8,1,39,0.1,34.5,4.4,0,0.835,14.88,0.616065,0.408689333308081,9.57598980070913,21.4880877027373,44.3175735416519,6.74835801584319,17.4613016057504,1.84448877450018
"C1","C","Seedling","1","Q1",16.4,0.277067102632937,0.246946807394027,0.891288807106003,0.35,4.8,13.71,0.1,3.25,48,39,13,7.7,94,58,8084,529,5.8,9.2,1,45,0.1,40.4,4.4,0,0.55,9.89,1.161975,0.627986048741684,10.2438479795296,31.9712681430652,44.768726693494,5.75155476387226,6.63661637129725,2.24443738929254
"C1","C","Seedling","1","Q2",14.4,0.279751809334249,0.265640972908412,0.949559445354729,0.26,4.53,17.42,0.36,3.68,41,44,15,7.8,108,55,6739,521,5.2,9.1,1,38.2,0.1,33.7,4.3,0,0.385,7.01,0.770725,0.229264747953314,2.94046991298904,28.8275500469993,50.8760405379946,7.90464978812947,9.22202496593426,1.74471577152073
"C1","C","Seedling","1","Q3",16.1,0.306193286540282,0.249200227089627,0.813865744430169,0.25,4.4,17.6,0.37,3.57,40,45,15,7.8,115,51,6435,456,5.1,10.6,1,36.1,0.1,32.2,3.8,0,0.5,8.045,0.679185,0.159488520315349,12.3988369299656,28.7278697218022,46.9981768468521,5.45251378828098,6.26311419278375,2.29698150531246
"C1","C","Seedling","1","Q4",16.3,0.305317364596633,0.269287025811422,0.881990535216326,0.24,4.17,17.38,0.34,3.44,40,45,15,7.4,108,50,6461,557,4.6,8.1,1,37.1,0.1,32.3,4.6,0,0.575,7.83,0.35189,0.249200812992732,4.54492442736145,23.2025892961273,54.1164485495017,8.75193255230476,9.134904361712,1.69489554498723
"C1","C","Seedling","1","Q5",16,0.261019622690203,0.242566625360518,0.929304175910231,0.24,4.25,17.71,0.35,3.53,44,41,15,7.8,112,54,6092,558,4.6,6.6,1,35.2,0.1,30.5,4.7,0,0.65,9.64,0.35811,0.199360650394187,4.00565386804518,28.5051838753119,50.6258429217499,8.14388256860249,8.52007611589632,1.79928910484078
"C2","C","Seedling","2","Q1",16.2,0.227362779691065,0.182347725829173,0.802012211835828,0.22,4.27,19.41,0.38,3.75,38,43,19,7.7,95,50,6590,556,6.5,8.4,1,37.7,0.1,33,4.6,0,0.445,6.435,0.45628,0.0398721300788381,2.5133397195195,20.4230034280064,57.6650681265183,10.5362103733327,8.82250622254429,1.51419614795351
"C2","C","Seedling","2","Q2",16.4,0.24006713796078,0.212685427695868,0.885941447473809,0.23,4.37,19,0.37,3.78,42,41,17,7.5,109,46,6331,560,4.7,9.4,1,36.4,0.1,31.7,4.7,0,0.515,7.135,0.43671,0.538273756064303,11.3138165901952,39.186229761156,36.9597700175537,4.40587037371151,7.59603950131927,2.46626336837761
"C2","C","Seedling","2","Q3",16.6,0.234315464228848,0.218128018619102,0.930916016734022,0.18,3.51,19.5,0.33,2.87,30,51,19,7.6,127,47,5793,503,3.9,5.8,1,33.3,0.1,29,4.2,0,0.405,7.3,0.27798,0.229264747953314,4.66095232589087,20.6459883154723,55.3486967295882,11.214036584673,7.90106129642239,1.63359992005638
"C2","C","Seedling","2","Q4",17.2,0.236863090087121,0.212650231632689,0.897776988193786,0.19,3.94,20.74,0.33,3.33,40,43,17,7.8,118,50,6296,520,6.3,6.5,1,35.9,0.1,31.5,4.3,0,0.39,7.055,0.491855,0.26913687803215,5.17340887772912,29.694270474588,50.1187691074723,5.07372855253203,9.67068610964637,1.90350929568873
"C2","C","Seedling","2","Q5",16.2,0.236348560766396,0.202529457033626,0.856910050041742,0.17,3.63,21.35,0.32,3.21,39,44,17,7.7,121,57,6301,558,5.1,6.3,1,36.3,0.1,31.5,4.7,0,0.445,7.63,0.314195,0.12958442275622,4.22903747681186,22.5888575338888,53.2736513999603,9.66899154411801,10.1098776224648,1.6459521813544
"C3","C","Seedling","3","Q1",15.6,0.260470119096319,0.201866731146426,0.775009171289157,0.32,4.45,13.91,0.1,3.17,36,43,21,7.7,125,65,6215,564,5.4,6.2,1,35.9,0.2,31.1,4.7,0,0.375,6.88,0.578865,0.328945073150407,5.87475964581587,27.9752832665641,50.6642198469508,6.81813424348116,8.33865792403761,1.89898368432437
"C3","C","Seedling","3","Q2",16.2,0.206318489363847,0.169299358668903,0.820572888018486,0.27,3.74,13.85,0.34,3.56,38,45,17,7.8,107,48,5473,544,5.4,4.1,1,32,0.1,27.4,4.5,0,0.28,5.64,0.34697,0.229264747953314,6.59664456089322,21.902159773606,52.7294965047094,8.31333912143755,10.2290952914005,1.76553552756311
"C3","C","Seedling","3","Q3",16,0.249261351790643,0.233966534956827,0.938639437185344,0.27,3.76,13.93,0.31,3.32,38,45,17,7.8,121,50,5829,558,5.3,7.5,1,33.9,0.1,29.1,4.7,0,0.33,6.5,0.25035,0.219296715433605,8.68833650482901,24.9303483727685,44.0884084740238,5.48241788584011,16.5911920471049,1.8995811681936
