Date,Plot,Quad,Temp (Â°C),BD15 Starting Depth,
6/13/2023,A1,Q1,16,15,
6/13/2023,A1,Q2,16.6,15,
6/13/2023,A1,Q3,16.3,15,
6/13/2023,A1,Q4,15.6,15,`
6/13/2023,A1,Q5,16,15,
6/13/2023,A2,Q1,17.7,15,
6/13/2023,A2,Q2,16.6,15,
6/13/2023,A2,Q3,15.9,15,
6/13/2023,A2,Q4,17.5,17,
6/13/2023,A2,Q5,17.4,17,
6/13/2023,A3,Q1,16.2,15,
6/13/2023,A3,Q2,16.4,15,
6/13/2023,A3,Q3,16,15,
6/13/2023,A3,Q4,16.1,15,
6/13/2023,A3,Q5,16.1,15,
6/13/2023,B1,Q1,16.2,15,
6/13/2023,B1,Q2,16.3,15,
6/13/2023,B1,Q3,16.1,15,
6/13/2023,B1,Q4,15.5,15,
6/13/2023,B1,Q5,16.2,15,
6/14/2023,B2,Q1,16.3,15,
6/14/2023,B2,Q2,16.2,15,
6/14/2023,B2,Q3,16.9,15,
6/14/2023,B2,Q4,16.7,15,
6/14/2023,B2,Q5,16.4,15,
6/14/2023,B3,Q1,16.2,15,
6/14/2023,B3,Q2,16.4,15,
6/14/2023,B3,Q3,16.7,15,
6/14/2023,B3,Q4,17,15,
6/14/2023,B3,Q5,16.9,15,
6/12/2023,C1,Q1,16.4,16,
6/12/2023,C1,Q2,14.4,15,
6/12/2023,C1,Q3,16.1,15,
6/12/2023,C1,Q4,16.3,15,
6/12/2023,C1,Q5,16,15,
6/14/2023,C2,Q1,16.2,15,
6/14/2023,C2,Q2,16.4,15,
6/14/2023,C2,Q3,16.6,15,
6/14/2023,C2,Q4,17.2,15,
6/14/2023,C2,Q5,16.2,15,
6/13/2023,C3,Q1,15.6,15,
6/13/2023,C3,Q2,16.2,15,
6/13/2023,C3,Q3,16,15,
6/13/2023,C3,Q4,16.1,15,
6/13/2023,C3,Q5,16.2,15,
6/14/2023,D1,Q1,16.3,15,
6/14/2023,D1,Q2,17,15,
6/14/2023,D1,Q3,16.4,15,
6/14/2023,D1,Q4,16.8,15,
6/14/2023,D1,Q5,17.1,15,
6/14/2023,D2,Q1,17.3,15,
6/14/2023,D2,Q2,17.2,15,
6/14/2023,D2,Q3,18.1,15,
6/14/2023,D2,Q4,16.9,15,
6/14/2023,D2,Q5,16.8,15,
6/13/2023,D3,Q1,16.5,15,
6/13/2023,D3,Q2,16.8,15,
6/13/2023,D3,Q3,20.5,15,
6/13/2023,D3,Q4,18.8,15,
6/13/2023,D3,Q5,18.4,15,
6/12/2023,E1,Q1,15.2,16,
6/12/2023,E1,Q2,17.7,15,
6/12/2023,E1,Q3,16.8,15,
6/12/2023,E1,Q4,16.2,15,
6/12/2023,E1,Q5,16.6,15,
6/13/2023,E2,Q1,16,15,
6/13/2023,E2,Q2,16.4,15,
6/13/2023,E2,Q3,17.5,15,
6/13/2023,E2,Q4,17.4,15,
6/13/2023,E2,Q5,18.5,15,
6/13/2023,E3,Q1,16.3,15,
6/13/2023,E3,Q2,16.6,15,
6/13/2023,E3,Q3,18.6,15,
6/13/2023,E3,Q4,18,15,
6/13/2023,E3,Q5,17.9,15,
6/12/2023,R1,Q1,16.1,15,
6/12/2023,R1,Q2,15.8,15,
6/12/2023,R1,Q3,15.2,15,
6/12/2023,R1,Q4,16.1,15,
6/12/2023,R1,Q5,16.3,16,
6/12/2023,R2,Q1,16.6,15,
6/12/2023,R2,Q2,17.1,15,
6/12/2023,R2,Q3,16.4,17,
6/12/2023,R2,Q4,16.2,16,
6/12/2023,R2,Q5,15.7,15,
6/12/2023,R3,Q1,18.1,15,
6/12/2023,R3,Q2,19.7,15,
6/12/2023,R3,Q3,18.3,15,
6/12/2023,R3,Q4,17.2,15,
6/12/2023,R3,Q5,17,15,