"year","redo","treatment","full.treatment.name","plot","spp","genus","species","dbh.cm","basal.area.m2"
2022,"N","A","Balled-and-burlapped","1","Plaocc","Platanus","occidentalis",38.8,0.118236981110505
2022,"N","A","Balled-and-burlapped","1","Plaocc","Platanus","occidentalis",10.6,0.00882473376393373
2022,"N","A","Balled-and-burlapped","1","Plaocc","Platanus","occidentalis",9.8,0.00754296396126909
2022,"N","A","Balled-and-burlapped","1","Plaocc","Platanus","occidentalis",27.9,0.0611361784370208
2022,"N","A","Balled-and-burlapped","1","Plaocc","Platanus","occidentalis",11.6,0.0105683176866761
2022,"N","A","Balled-and-burlapped","1","Acesai","Acer","saccharinum",69.1,0.375012700457177
2022,"N","A","Balled-and-burlapped","2","Quebic","Quercus","bicolor",31.1,0.0759644957619646
2022,"N","A","Balled-and-burlapped","2","Betnig","Betula","nigra",29.3,0.0674256469295075
2022,"N","A","Balled-and-burlapped","2","Betnig","Betula","nigra",26.5,0.0551545860245858
2022,"N","A","Balled-and-burlapped","2","Acesai","Acer","saccharinum",71,0.395919214168654
2022,"N","A","Balled-and-burlapped","2","Quepal","Quercus","palustris",20.1,0.0317308711994203
2022,"N","A","Balled-and-burlapped","3","Quebic","Quercus","bicolor",32.8,0.0844962760109511
2022,"N","A","Balled-and-burlapped","3","Acesai","Acer","saccharinum",95,0.708821842466197
2022,"N","A","Balled-and-burlapped","3","Acesai","Acer","saccharinum",20,0.0314159265358979
2022,"N","A","Balled-and-burlapped","3","Acesai","Acer","saccharinum",69.7,0.381553496361951
2022,"N","A","Balled-and-burlapped","3","Acesai","Acer","saccharinum",74.5,0.435915615639669
2022,"N","B","Bareroot","1","Acesai","Acer","saccharinum",53,0.220618344098343
2022,"N","B","Bareroot","1","Acesai","Acer","saccharinum",18.8,0.0277591126871194
2022,"N","B","Bareroot","1","Fraxpen","Fraxinus","pennsylvanica",12,0.0113097335529233
2022,"N","B","Bareroot","1","Fraxpen","Fraxinus","pennsylvanica",22,0.0380132711084365
2022,"N","B","Bareroot","1","Acesai","Acer","saccharinum",50.7,0.201885812503151
2022,"N","B","Bareroot","1","Quebic","Quercus","bicolor",17.2,0.0232352192659501
2022,"N","B","Bareroot","1","Quebic","Quercus","bicolor",11.8,0.0109358840271461
2022,"N","B","Bareroot","1","Fraxpen","Fraxinus","pennsylvanica",15.6,0.0191134497044403
2022,"N","B","Bareroot","1","Fraxpen","Fraxinus","pennsylvanica",32,0.0804247719318987
2022,"N","B","Bareroot","1","Quebic","Quercus","bicolor",16.9,0.0224317569447945
2022,"N","B","Bareroot","1","Quebic","Quercus","bicolor",18.6,0.0271716348608981
2022,"N","B","Bareroot","1","Acesai","Acer","saccharinum",37.2,0.108686539443593
2022,"N","B","Bareroot","1","Moralb","Morus","alba",23,0.041547562843725
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",38.7,0.117628297533872
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",11.4,0.0102070345315132
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",38.6,0.117021184753566
2022,"N","B","Bareroot","2","Popdel","Populus","deltoides",18.4,0.026590440219984
2022,"N","B","Bareroot","2","Quepal","Quercus","palustris",8.9,0.00622113885227119
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",29,0.0660519855417254
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",6.7,0.00352565235549115
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",29.6,0.0688134454842309
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",14.3,0.0160606070433144
2022,"N","B","Bareroot","2","Quebic","Quercus","bicolor",14.5,0.0165129963854313
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",31.2,0.0764537988177612
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",19.3,0.0292552961883916
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",15.4,0.0186265028431339
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",26,0.0530929158456675
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",17.4,0.0237787147950211
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",7,0.0038484510006475
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",30.9,0.0749906020393518
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",29.5,0.0683492751696629
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",21.1,0.0349667116326178
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",11.2,0.00985203456165759
2022,"N","B","Bareroot","2","Fraxpen","Fraxinus","pennsylvanica",7.5,0.00441786466911065
2022,"N","B","Bareroot","2","Fraxpen","Fraxinus","pennsylvanica",5.5,0.00237582944427728
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",20.8,0.0339794661412272
2022,"N","B","Bareroot","2","Quebic","Quercus","bicolor",6.7,0.00352565235549115
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",21.2,0.0352989350557349
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",32.3,0.0819398049890924
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",32.4,0.0824479576008105
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",8.4,0.0055417694409324
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",11.4,0.0102070345315132
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",32.3,0.0819398049890924
2022,"N","B","Bareroot","2","Quebic","Quercus","bicolor",11.2,0.00985203456165759
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",17.5,0.0240528187540468
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",35.6,0.099538221636339
2022,"N","B","Bareroot","2","Acesai","Acer","saccharinum",17.8,0.0248845554090848
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",10,0.00785398163397448
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",30.1,0.0711578590019722
2022,"N","B","Bareroot","3","Quebic","Quercus","bicolor",10.7,0.00899202357273739
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",24.8,0.0483051286415967
2022,"N","B","Bareroot","3","Popdel","Populus","deltoides",22.9,0.0411870650867256
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",41.9,0.137885286964219
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",5.8,0.00264207942166902
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",9.2,0.006647610054996
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",30.8,0.0745060113725355
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",9.6,0.00723822947387088
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",34.6,0.0940247265292889
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",27.8,0.0606987116600084
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",21.3,0.0356327292751788
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",8.1,0.00515299735005066
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",18.5,0.0268802521422777
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",35.4,0.0984229562443146
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",29.7,0.0692791865951255
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",24.3,0.0463769761504559
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",24.7,0.0479163565507149
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",12.7,0.0126676869774374
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",26.8,0.0564104376878583
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",23.9,0.0448627284914256
2022,"N","B","Bareroot","3","Fraxpen","Fraxinus","pennsylvanica",14.4,0.0162860163162095
2022,"N","B","Bareroot","3","Quebic","Quercus","bicolor",13,0.0132732289614169
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",25,0.0490873852123405
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",11,0.00950331777710912
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",27.3,0.0585349397198484
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",38.3,0.115209271190608
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",27.7,0.0602628156793228
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",10.2,0.00817128249198705
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",10.9,0.00933131557932508
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",8.1,0.00515299735005066
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",36.2,0.102921716924255
2022,"N","B","Bareroot","3","Acesai","Acer","saccharinum",40.1,0.126292810072473
2022,"N","B","Bareroot","3","Quebic","Quercus","bicolor",15.5,0.0188691908756237
2022,"N","C","Seedling","1","Fraxpen","Fraxinus","pennsylvanica",17,0.0226980069221863
2022,"N","C","Seedling","1","Carill","Carya","illinoiensis",7.1,0.00395919214168654
2022,"N","C","Seedling","1","Carill","Carya","illinoiensis",16.3,0.0208672438033068
2022,"N","C","Seedling","1","Carill","Carya","illinoiensis",7.3,0.004185386812745
2022,"N","C","Seedling","1","Popdel","Populus","deltoides",89,0.622113885227119
2022,"N","C","Seedling","1","Carill","Carya","illinoiensis",14.8,0.0172033613710577
2022,"N","C","Seedling","1","Carill","Carya","illinoiensis",13.5,0.0143138815279185
2022,"N","C","Seedling","1","Quebic","Quercus","bicolor",15.1,0.0179078635236252
2022,"N","C","Seedling","1","Quebic","Quercus","bicolor",16.5,0.0213824649984955
2022,"N","C","Seedling","1","Carill","Carya","illinoiensis",8.4,0.0055417694409324
2022,"N","C","Seedling","1","Carill","Carya","illinoiensis",17.1,0.0229658276959048
2022,"N","C","Seedling","1","Moralb","Morus","alba",7.2,0.00407150407905237
2022,"N","C","Seedling","1","Carill","Carya","illinoiensis",22.3,0.0390570652675917
2022,"N","C","Seedling","1","Carill","Carya","illinoiensis",13.4,0.0141026094219646
2022,"N","C","Seedling","1","Carill","Carya","illinoiensis",26.7,0.0559902496704407
2022,"N","C","Seedling","1","Carill","Carya","illinoiensis",29.4,0.0678866756514218
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",53.8,0.227328786006411
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",22.3,0.0390570652675917
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",26,0.0530929158456675
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",26,0.0530929158456675
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",63.1,0.312714918136491
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",25.5,0.0510705155749191
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",14.1,0.0156145008865047
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",42.5,0.141862543263664
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",31.4,0.0774371173183348
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",57.8,0.262388960020473
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",29.3,0.0674256469295075
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",31.3,0.0769446726698846
2022,"N","C","Seedling","2","Fraxpen","Fraxinus","pennsylvanica",10.1,0.00801184666481737
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",18.3,0.0263021990940171
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",20.6,0.0333291564619341
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",18.5,0.0268802521422777
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",28.3,0.0629017535083383
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",26.7,0.0559902496704407
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",22,0.0380132711084365
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",21.2,0.0352989350557349
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",37.4,0.109858353503381
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",42.1,0.139204755878727
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",35,0.0962112750161874
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",15.8,0.0196066797510539
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",39.6,0.123162998391334
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",30.2,0.0716314540945009
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",21,0.0346360590058275
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",15.8,0.0196066797510539
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",25.1,0.0494808696922026
2022,"N","C","Seedling","2","Acesai","Acer","saccharinum",8.6,0.00580880481648753
2022,"N","C","Seedling","3","Acesai","Acer","saccharinum",31.4,0.0774371173183348
2022,"N","C","Seedling","3","Acesai","Acer","saccharinum",46.9,0.172756965419066
2022,"N","C","Seedling","3","Acesai","Acer","saccharinum",20.6,0.0333291564619341
2022,"N","C","Seedling","3","Acesai","Acer","saccharinum",30.3,0.0721066199833563
2022,"N","C","Seedling","3","Carill","Carya","illinoiensis",13.5,0.0143138815279185
2022,"N","C","Seedling","3","Acesai","Acer","saccharinum",68.5,0.368528453220168
2022,"N","C","Seedling","3","Carill","Carya","illinoiensis",17.9,0.0251649425534176
2022,"N","C","Seedling","3","Acesai","Acer","saccharinum",47.5,0.177205460616549
2022,"N","C","Seedling","3","Acesai","Acer","saccharinum",16.5,0.0213824649984955
2022,"N","C","Seedling","3","Acesai","Acer","saccharinum",47.7,0.178700858719658
2022,"N","C","Seedling","3","Acesai","Acer","saccharinum",15.5,0.0188691908756237
2022,"N","C","Seedling","3","Acesai","Acer","saccharinum",33.5,0.0881413088872787
2022,"N","C","Seedling","3","Acesai","Acer","saccharinum",7.2,0.00407150407905237
2022,"N","C","Seedling","3","Acesai","Acer","saccharinum",33.7,0.0891968840188848
2022,"N","C","Seedling","3","Acesai","Acer","saccharinum",14.9,0.0174366246255867
2022,"N","C","Seedling","3","Acesai","Acer","saccharinum",40.5,0.128824933751266
